rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
999,FA,50,DPS,Zowie S2,"1,000",800,0.177,141,1,BenQ XL2540,240,,1366x768,Corsair MM350,,Turtle Beach Elite Pro
999,FA,51,kpiz,Zowie S1 Divina Edition,"1,000",800,0.26,208,1,BenQ XL2546,240,,1440x1080,Zowie G-SR-SE Divina Pink Edition,GK64,HyperX Cloud II
999,FA,52,neph,Zowie EC2-B Divina Edition,"1,000",400,0.6,240,1,BenQ XL2411,144,,1366x768,SteelSeries QcK Heavy,Ducky Shine 5 YOTG,HyperX Cloud II
999,FA,53,hype,Razer Viper Ultimate,"1,000",400,0.55,220,1,BenQ XL2540,240,,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
999,FA,54,leakeN,Zowie EC2,"1,000",400,0.53,212,1,BenQ XL2546,240,,1280x960,Zowie G-SR,Turtle Beach Impact 100,Logitech G Pro X
999,FA,55,iDex,Razer DeathAdder V3 Pro,"1,000",800,0.244,195,1,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Ducky MIYA Pro Sakura,HyperX Cloud Alpha
999,FA,56,Coffee,SteelSeries Rival 300,"1,000","1,600",0.24,384,1,BenQ XL2430T,144,GTX 1060,1920x1080,SteelSeries QcK+ NiP Edition,HyperX Alloy FPS,HyperX Cloud Revolver S
999,FA,57,zeddy,Zowie FK2,"1,000",800,0.3,240,1,BenQ XL2430T,144,GTX 1060,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud I
16,Bleed eSports,58,pyth,Logitech G Pro Wireless,"1,000",400,0.63,252,1,AOC AG251FZ2E,240,GTX 1080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
76,Prodigy,59,JEROME,Logitech MX518 Legendary,"1,000",800,0.471,376,1,BenQ XL2546,240,,1280x960,SteelSeries QcK+,HyperX Alloy FPS,HyperX Cloud Earbuds
999,FA,61,reltuC,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,BenQ XL2546,240,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
33,NRG Esports (B),62,hazed,Logitech G Pro X Superlight Black,"1,000",800,0.35,280,1,ASUS ROG Swift PG259QN,360,GTX 1080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,63,Drone,Logitech G Pro X Superlight Black,"1,000",800,0.34,272,1,BenQ XL2540,240,GTX 1080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
98,Excel (B),65,Patitek,Logitech G Pro X Superlight Black,"1,000",400,0.82,328,1,AOC AG251FZ2E,240,RTX 2080 Ti,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,66,Tenner,Razer Viper,"1,000",800,0.3,240,0.65,,,,1920x1080,,,
999,FA,67,davidp,Logitech G Pro Wireless,"1,000",400,0.58,232,1,AOC AG251FZ2E,240,RTX 2080,1440x900,Logitech G640,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
"1,000",Streamer,68,N1KOLA,Xtrfy M4 Black,"1,000",800,0.37,296,1,BenQ XL2546,240,,1920x1080,Logitech G640,Ducky One 2 Mini RGB,Sennheiser CX 3.00
54,BIG,70,luckerrr,Razer Viper 8KHz,"1,000",400,0.913,365,1,BenQ XL2546,240,RTX 2080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
8,Zeta Division,71,Laz,ZOWIE FK1-C,"1,000",800,0.355,284,0.8,BenQ XL2546,240,,1920x1080,Artisan FX Zero Soft,Logitech G915,Logitech G Pro X Wireless Headset
8,Zeta Division,72,crow,Logitech G Pro X Superlight,"1,000",800,0.45,360,1,BenQ XL2546K,240,RTX 2080 Super,1920x1080,Esports Tiger EBA,Logitech G915 TKL,Logitech G Pro X Headset
8,Zeta Division,73,Reita,VAXEE ZYGEN NP-01S,"1,000",800,0.44,352,0.9,BenQ XL2546,240,,1920x1080,Zowie G-SR-SE,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,75,cad,Xtrfy M4 Pink,"1,000",400,0.55,220,0.92,Alienware AW2518H,240,GTX 970,1920x1080,SteelSeries QcK Heavy,Motospeed GK82,GFallen Morcego
78,INTERPOL,76,deM0,Logitech G Pro Wireless,"1,000",400,0.624,249,0.624,BenQ XL2411,144,GTX 1060,1920x1080,HyperX FURY S Pro,HyperX Alloy FPS,HyperX Cloud Alpha PE
105,Stars Horizon,77,DiMAS,Xtrfy M4 Black,"1,000",800,0.45,360,1,BenQ XL2411,144,GTX 1660,1920x1080,Logitech G640,,
78,INTERPOL,78,cry0,Zowie EC1,"1,000",400,0.471,188,1,BenQ XL2540,240,RTX 2070 Super,1920x1080,Zowie G-SR,Logitech G513,Sennheiser GSP 500
43,Sentinels (B),79,dapr,Logitech G Pro X Superlight Black,"1,000",400,0.66,264,1,BenQ XL2546,240,RTX 3080,1920x1080,Zowie G-SR-SE,Corsair K70 TKL,HyperX Cloud II
999,FA,81,ZerG,Logitech G903,"1,000",800,0.4,320,1,Alienware AW2518H,240,GTX 1080 Ti,1920x1080,,AJAZZ AK33,
999,FA,82,Nurfed,Logitech G Pro Wireless,"1,000",400,0.59,236,1,BenQ XL2540,240,,1920x1080,Zowie G-SR,,
112,NaVi (B),83,7ssk7,Logitech G Pro X Superlight White,"1,000",800,0.24,192,1,BenQ XL2546,240,RTX 2080 Ti,1600x900,Logitech G640,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X Headset
1,FPX,84,ANGE1,Logitech G Pro X Superlight,"1,000",800,0.5,400,1,BenQ XL2546,240,RTX 2080 Ti,1280x960,Razer Goliathus Speed,Wooting 60 HE,HyperX Cloud Revolver
999,FA,85,Art1st,Zowie EC2-A,"1,000","1,600",0.141,225,1,BenQ XL2411,144,GTX 1060,1920x1080,Zowie G-SR,HyperX Alloy FPS,HyperX Cloud Alpha
